
time 03h 29m 28s, episodes 47613, frames 7.7M, mean epr -2.34, run loss 171.21
time 03h 30m 28s, episodes 47748, frames 7.7M, mean epr -3.05, run loss 174.22
time 03h 31m 28s, episodes 47897, frames 7.8M, mean epr -2.48, run loss 176.48
time 03h 32m 29s, episodes 48032, frames 7.8M, mean epr -1.35, run loss 183.81
time 03h 33m 29s, episodes 48180, frames 7.9M, mean epr -1.70, run loss 193.24
time 03h 34m 29s, episodes 48320, frames 7.9M, mean epr -1.26, run loss 176.49
time 03h 35m 29s, episodes 48456, frames 7.9M, mean epr -1.91, run loss 184.71
time 03h 36m 29s, episodes 48610, frames 8.0M, mean epr -2.29, run loss 172.20

	8M frames: saved model

time 03h 37m 30s, episodes 48771, frames 8.0M, mean epr -3.75, run loss 172.91
time 03h 38m 30s, episodes 48908, frames 8.0M, mean epr -2.29, run loss 183.61
time 03h 39m 30s, episodes 49049, frames 8.1M, mean epr -1.80, run loss 189.22
time 03h 40m 30s, episodes 49203, frames 8.1M, mean epr -1.89, run loss 175.89
time 03h 41m 30s, episodes 49345, frames 8.2M, mean epr -1.49, run loss 185.69
time 03h 42m 30s, episodes 49503, frames 8.2M, mean epr -2.07, run loss 186.88
time 03h 43m 30s, episodes 49657, frames 8.2M, mean epr -2.89, run loss 175.25
time 03h 44m 30s, episodes 49805, frames 8.3M, mean epr -2.25, run loss 181.37
